epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8025,0.75335,2.14184,1.25131,0.80872,0.71312,0.85047,0.63855,0.77941,1.96113,1.29181,0.000411523,0.000411523,0.000411523
2,70.8747,0.82992,1.45326,1.27961,0.61514,0.6788,0.7083,0.50001,0.84188,3.24351,1.44902,0.000811791,0.000811791,0.000811791
3,105.065,0.85393,1.35332,1.28995,0.73504,0.33365,0.51068,0.28746,1.22184,2.8323,1.78329,0.00119556,0.00119556,0.00119556
4,139.234,0.84489,1.25888,1.27273,0.79894,0.79301,0.87182,0.6183,0.92117,1.35799,1.45595,0.00117575,0.00117575,0.00117575
5,173.146,0.83175,1.15408,1.27237,0.81154,0.85951,0.92158,0.72089,0.73884,1.07995,1.25942,0.001151,0.001151,0.001151
6,207.31,0.82166,1.05039,1.25357,0.79056,0.88335,0.90146,0.69202,0.75887,0.94252,1.28713,0.00112625,0.00112625,0.00112625
7,241.609,0.79094,0.94014,1.22881,0.81549,0.84105,0.91892,0.72324,0.72535,0.94958,1.24149,0.0011015,0.0011015,0.0011015
8,275.805,0.75009,0.9417,1.21366,0.83665,0.81593,0.88305,0.66173,0.76065,0.9443,1.27722,0.00107675,0.00107675,0.00107675
9,309.882,0.76359,0.91251,1.21212,0.91698,0.82446,0.92908,0.72189,0.76391,0.9115,1.29098,0.001052,0.001052,0.001052
10,344.022,0.73647,0.85836,1.20066,0.83668,0.8873,0.92877,0.7655,0.65452,0.70375,1.16997,0.00102725,0.00102725,0.00102725
11,378.345,0.74749,0.8177,1.20341,0.84881,0.89124,0.94522,0.74587,0.6954,0.75694,1.21216,0.0010025,0.0010025,0.0010025
12,412.769,0.73677,0.79098,1.20394,0.8381,0.92486,0.95904,0.76348,0.6776,0.70882,1.19657,0.00097775,0.00097775,0.00097775
13,447.125,0.69933,0.75541,1.16679,0.88334,0.92417,0.96498,0.77202,0.65653,0.65453,1.18776,0.000953,0.000953,0.000953
14,481.57,0.68444,0.73133,1.15928,0.92736,0.89793,0.95629,0.76479,0.66298,0.64755,1.16345,0.00092825,0.00092825,0.00092825
15,515.886,0.6697,0.71855,1.15118,0.87904,0.92391,0.96055,0.79698,0.62361,0.62421,1.15055,0.0009035,0.0009035,0.0009035
16,550.257,0.70632,0.73616,1.17243,0.91194,0.91508,0.95593,0.78064,0.64812,0.60768,1.17802,0.00087875,0.00087875,0.00087875
17,584.604,0.67013,0.69868,1.16762,0.92578,0.92945,0.96662,0.77885,0.64519,0.58325,1.15945,0.000854,0.000854,0.000854
18,618.949,0.67496,0.67995,1.15706,0.94144,0.94958,0.97819,0.81559,0.62479,0.54804,1.15577,0.00082925,0.00082925,0.00082925
19,653.308,0.66951,0.65884,1.15006,0.89653,0.95815,0.97382,0.82304,0.59052,0.50859,1.10179,0.0008045,0.0008045,0.0008045
